AARDVARKS,AARDVARK(South African) a nocturnal
INCUMBENT,imposed on [adj INCUMBENTLY] / a person who holds an ecclesiastical beneficeor any office [n -S]
INCUMBERS,INCUMBERto impede the motion of
INCUNABLE,a book printed from movable type before 1501also INCUNABULUM [n -S]
INCURABLE,that cannot be curedalso UNCURABLE [adj INCURABLY] / one who cannot be cured [n -S]
INCURABLY,INCURABLEthat cannot be cured
INCURIOUS,not curiousalso UNCURIOUS [adj INCURIOUSLY]
INCURRENT,carrying an inflowing current [adj]
INCURRING,INCURto bring upon oneself [v]
INCURSION,a hostile inroad; the action of leaking or running in [n -S]
INCURSIVE,making an incursioninvasive [adj]
INCURVATE,curved inward [adj] / to curve inalso INCURVE [v INCURVATED
INCURVING,INCURVEto curve inward
INCURVITY,a state of being bent or curved [n INCURVITIES]
INDAGATED,INDAGATEto investigate [v]
INDAGATES,INDAGATEto investigate [v]
INDAGATOR,a searcher; an investigator [n -S]
INDAMINES,INDAMINEany unstable organic base whose salts are blue or green dyes
INDARTING,INDART(Shakespeare) to dart in
INDECENCY,the quality of being indecent [n INDECENCIES]
INDECORUM,(Latin) a lack of decorum [n -S]
INDELIBLE,that cannot be erased [adj INDELIBLY]
INDELIBLY,INDELIBLEthat cannot be erased [adv]
INDEMNIFY,to secureto compensate [v INDEMNIFIED
INDEMNITY,security from damage or loss [n INDEMNITIES]
INDENTERS,INDENTERone that indents
INDENTING,INDENTto cut or tear irregularly [v]
INDENTION,a blank space left at the beginning of a linealso INDENTATION [n -S]
INDENTORS,INDENTORone that indents
INDENTURE,to bind by indenturesesp. as an apprentice [v INDENTURED
INDEXABLE,that can be indexed [adj]
INDEXICAL,ofpertaining to
INDEXINGS,INDEXINGthe linking of wages and cost-of-living levels [n]
INDEXLESS,without an index [adj]
INDICANTS,INDICANTsomething that indicates [n]
INDICATED,INDICATEto point out [v]
INDICATES,INDICATEto point out [v]
INDICATOR,someone who or that which indicates [n -S]
INDICIUMS,INDICIUM(Latin) a distinctive mark
INDICTEES,INDICTEEone who is indicted [n]
INDICTERS,INDICTERone who indicts
INDICTING,INDICTto charge with a crime [v]
INDICTION,a declaration; a proclamation; a public notice or appointment [n -S]
INDICTORS,INDICTORone who indicts
INDIGENCE,poverty; the state of being needyalso INDIGENCY [n -S]
INDIGENCY,poverty; the state of being needyalso INDIGENCE [n INDIGENCIES]
INDIGENES,INDIGENEone born in a country; an aboriginal animal or plant
INDIGENTS,INDIGENTan indigent or poor person [n]
INDIGESTS,INDIGESTto suffer indigestion [v]
INDIGNANT,feeling or showing justifiable anger [adj INDIGNANTLY]
INDIGNIFY,(archaic) to treat insultingly [v INDIGNIFIEDINDIGNIFYING
INDIGNITY,disgracehumiliation [n INDIGNITIES]
INDIGOIDS,INDIGOIDa blue dye [n]
INDIGOTIC,relating to indigo [adj]
INDIGOTIN,the blue colouring matter of indigoobtained by hydrolysis from indican [n -S]
INDINAVIR,a drug used to treat AIDS [n -S]
INDIRUBIN,a red crystalline substance resembling indigotin but with oxidized indoxyl rather than indoxyl nuclei [n -S]
INDISPOSE,to render indisposed [v INDISPOSEDINDISPOSING
INDIVIDUA,INDIVIDUUM(Latin) an indivisible entity; an individual person [n]
INDOCIBLE,incapable of being taughtor not easily instructed [adj]
INDOLENCE,lazinessalso INDOLENCY [n -S]
INDOLENCY,lazinessalso INDOLENCE [n INDOLENCIES]
INDORSEES,INDORSEEa person to whom a bill is assigned
INDORSERS,INDORSERone that endorses
INDORSING,INDORSEto declare one's approval
INDORSORS,INDORSORone that endorses
INDRAUGHT,a drawing in; an inward flow of airalso INDRAFT [n -S]
INDUBIOUS,(archaic) not dubious [adj]
INDUCIBLE,capable of being induced [adj]
INDUCTEES,INDUCTEEone who is inducted [n]
INDUCTILE,not ductile [adj]
INDUCTING,INDUCTto bring into military service [v]
INDUCTION,the act of inducing [n -S]
INDUCTIVE,relating to induction [adj INDUCTIVELY]
INDUCTORS,INDUCTORa part of an electrical apparatus which acts inductively on another
INDULGENT,tending to indulge [adj]
INDULGERS,INDULGERone who indulges [n]
INDULGING,INDULGEto yield to the desire of [v]
INDULINES,INDULINEa blue dye
INDUMENTA,INDUMENTUM(Latin) a total body covering of hair
INDURATED,INDURATEto make hard
INDURATES,INDURATEto make hard
INDUSIATE,having an indusiuma protective covering [adj]
INDUVIATE,covered with induviaeas the upper part of the trunk of a palm tree [adj]
INDWELLER,an inhabitant [n -S]
INEARTHED,INEARTH(archaic) to inter [v]
INEBRIANT,something that inebriates [n -S]
INEBRIATE,to make drunk [v INEBRIATEDINEBRIATING
INEBRIETY,drunkenness [n INEBRIETIES]
INEBRIOUS,drunk; causing intoxication [adj]
INEFFABLE,unspeakableindescribable [adj INEFFABLY]
INEFFABLY,INEFFABLEunspeakable
INELASTIC,not elastic [adj INELASTICALLY]
INELEGANT,not elegant [adj INELEGANTLY]
INEPTNESS,the state of being inept [n -ES]
INEQUABLE,not equablealso UNEQUABLE [adj]
INERRABLE,incapable of erring; infallible [adj INERRABLY]
INERRABLY,INERRABLEincapable of erring; infallible [adv]
INERRANCY,exemption from errorinfallibility [n INERRANCIES]
INERTNESS,the state of being inert [n -ES]
INERUDITE,not erudite [adj]
INESSIVES,INESSIVEa case in Finnish nouns indicating location within [n]
INEXACTLY,INEXACTnot exact or precise [adv]
INEXPERTS,INEXPERTone who lacks specific skills
INFALLING,a falling inwards [adj]
INFAMISED,INFAMISEto proclaim as infamous
INFAMISES,INFAMISEto proclaim as infamous
INFAMIZED,INFAMIZEto proclaim as infamous
INFAMIZES,INFAMIZEto proclaim as infamous
INFANCIES,INFANCYthe state of being an infant [n]
INFANTEER,(Canadian) a Canadian word for an infantryman [n -S]
INFANTILE,like an infantchildish
INFANTINE,like an infantchildish
INFARCTED,affected by infarctionnecrosis [adj]
INFATUATE,to inspire with foolish or unreasoning passion [v INFATUATEDINFATUATING
INFECTANT,a thing that infects or causes infection [n -S]
INFECTERS,INFECTERone that infects
INFECTING,INFECTto contaminate with germs [v]
INFECTION,the act of infecting [n -S]
INFECTIVE,infectious [adj INFECTIVELY]
INFECTORS,INFECTORone that infects
INFEFTING,INFEFTin Scots law
INFEOFFED,INFEOFFto invest with a feudal property
INFERABLE,that can be inferredalso INFERIBLE
INFERABLY,INFERABLEthat can be inferred
INFERENCE,the act of inferring [n -S]
INFERIBLE,that can be inferredalso INFERABLE
INFERIORS,INFERIORone of lesser rank [n]
INFERRERS,INFERRERone who infers [n]
INFERRING,INFERto reach or derive by reasoning [v]
INFERTILE,not fertilealso UNFERTILE [adj INFERTILELY]
INFESTANT,something that infests [n -S]
INFESTERS,INFESTERone who
INFESTING,INFESTto invade and swarm over [v]
INFIDELIC,of or like an infidel [adj]
INFIELDER,a fielder who stands near the wicket [n -S]
INFIGHTER,one who fights at close quarters [n -S]
INFILLING,material used to fill up or level [n -S]
INFINITES,INFINITEsomething that has no limits [n]
INFIRMARY,a hospital or place for the treatment of the sick [n INFIRMARIES]
INFIRMEST,INFIRMsickly [adj]
INFIRMING,INFIRMto weaken or destroy the validity of [v]
INFIRMITY,weaknessfrailty [n INFIRMITIES]
INFIXIONS,INFIXIONthe act of infixing [n]
INFLAMERS,INFLAMERone who inflames [n]
INFLAMING,INFLAMEto set on fire [v]
INFLATERS,INFLATERone that inflates
INFLATING,INFLATEto expand with air or gas [v]
INFLATION,undue increase in quantity of money in proportion to buying power [n -S]
INFLATIVE,causing inflationtending to inflate [adj]
INFLATORS,INFLATORone that inflates
INFLECTED,INFLECTto bend or curve inwards [v]
INFLECTOR,one who inflects [n -S]
INFLEXION,a change in the form of a wordusually modification or affixation
INFLEXURE,an inflection; a bend or fold [n -S]
INFLICTED,INFLICTto impose on [v]
INFLICTER,one who inflictsalso INFLICTOR [n -S]
INFLICTOR,one who inflictsalso INFLICTER [n -S]
INFLOWING,the act of flowing inwards [n -S]
INFLUENCE,to have or exert an effect on [v INFLUENCEDINFLUENCING
INFLUENTS,INFLUENTa tributary stream [n]
INFLUENZA,a highly contagious viral infection [n -S]
INFLUXION,a flowing inalso INFLUX [n -S]
INFOBAHNS,INFOBAHNan information superhighway such as the Internet [n]
INFOLDERS,INFOLDERone that infolds [n]
INFOLDING,a folding inwards [n -S]
INFOMANIA,an excessive desire for information [n -S]
INFORCING,INFORCEto compel
INFORMANT,someone who informs [n -S]
INFORMERS,INFORMERone that informs [n]
INFORMING,INFORMto pass on information
INFORTUNE,misfortune [n -S]
INFOTECHS,INFOTECHan informal short form of information technology [n]
INFRACTED,INFRACTto break a legal rule [v]
INFRACTOR,one who infracts or infringes [n -S]
INFRAREDS,INFRAREDa part of the visible spectrum
INFRINGED,INFRINGEto violate an oath or law [v]
INFRINGER,one who infringes [n -S]
INFRINGES,INFRINGEto violate an oath or law [v]
INFURIATE,enraged [adj INFURIATELY] / to make furious [v INFURIATEDINFURIATING
INFUSCATE,clouded or tinged with brownesp. of insects' wings
INFUSIBLE,unable to be fused or melted [adj]
INFUSIONS,INFUSIONthe act of infusing [n]
INFUSORIA,a class of protozoa found in stagnant water [n]
INGATHERS,INGATHERto gather in
INGENIOUS,cunningly devised [adj INGENIOUSLY]
INGENIUMS,INGENIUM(obsolete) mentality; talent
INGENUITY,the quality of being ingenious [n INGENUITIES]
INGENUOUS,showing innocent or childlike simplicity and candidness; lacking craft or subtlety [adj INGENUOUSLY]
INGESTING,INGESTto take into the body [v]
INGESTION,the act of taking e.g. food into the body [n -S]
INGESTIVE,relating to ingestionthe act of taking e.g. food into the body [adj]
INGLENEUK,an alcove by a large open firealso INGLENOOK [n -S]
INGLENOOK,an alcove by a large open firealso INGLENEUK [n -S]
INGLOBING,INGLOBEto form into a globe
INGLUVIAL,of or pertaining to the ingluvies or crop of birds [adj]
INGLUVIES,(Latin) the crop or craw of birds [n INGLUVIES]
INGRAFTED,INGRAFT(Shakespeare) to graft for propagation
INGRAINED,INGRAINto impress firmly on the mind
INGRAINER,one who ingrainsalso ENGRAINER [n -S]
INGRATELY,(archaic) ungratefully [adv]
INGRESSES,INGRESSa way in
INGROOVED,INGROOVEto fit into a groove
INGROOVES,INGROOVEto fit into a groove
INGROSSED,INGROSSto completely absorb one's attention
INGROSSES,INGROSSto completely absorb one's attention
INGROUNDS,INGROUNDto fix (something) in something as in the ground [v]
INGROWING,growing inas e.g. a toenail [adj]
INGROWTHS,INGROWTHa growth inward [n]
INGULFING,INGULFto swallow up completely
INGULPHED,INGULPHto swallow up completely
INHABITED,INHABITto live in [v]
INHABITER,one who inhabitsalso INHABITOR [n -S]
INHABITOR,one who inhabitsalso INHABITER [n -S]
INHALABLE,that can be inhaled [adj]
INHALANTS,INHALANTsomething that is inhaled [n]
INHALATOR,an apparatus for enabling one to inhale a gasvapour etc. [n -S]
INHARMONY,want of harmony [n INHARMONIES]
INHAULERS,INHAULERa line for bringing in a sail
INHAUSTED,INHAUSTto drink in [v]
INHEARSED,INHEARSE(Shakespeare) to enclose in a hearse
INHEARSES,INHEARSE(Shakespeare) to enclose in a hearse
INHERCING,INHERCE(Shakespeare) to enclose in a hearse
INHERENCE,the state of inheringalso INHERENCY
INHERENCY,the state of inheringalso INHERENCE
INHERITED,INHERITto receive by legal succession [v]
INHERITOR,one who inherits [n -S]
INHESIONS,INHESIONthe state of being inherent
INHIBITED,INHIBITto restrain or hold back [v]
INHIBITER,something or someone that inhibitsalso INHIBITOR [n -S]
INHIBITOR,something or someone that inhibitsalso INHIBITER [n -S]
INHOLDERS,INHOLDERa container [n]
INHOLDING,privately owned land inside the bounds of a national park [n -S]
INHOOPING,INHOOP(Shakespeare) to confine in a hoop [v]
INHUMANER,INHUMANEnot humane [adj]
INHUMANLY,INHUMANlacking desirable human qualities [adv]
INHUMATED,INHUMATEto bury
INHUMATES,INHUMATEto bury
INITIALED,INITIALto mark with the first letters of one's name [v]
INITIALER,one who initialsalso INITIALLER [n -S]
INITIALLY,INITIALat the beginning [adv]
INITIATED,INITIATEto begin or start [v]
INITIATES,INITIATEto begin or start [v]
INITIATOR,one who initiates [n -S]
INJECTANT,a substance that is injected into something [n -S]
INJECTING,INJECTto force liquid into [v]
INJECTION,the act of injecting [n -S]
INJECTIVE,being a one to one mathematical function [adj]
INJECTORS,INJECTORone who injects [n]
INJELLIED,INJELLYto place as if in jelly [v]
INJELLIES,INJELLYto place as if in jelly [v]
INJOINTED,INJOINT(Shakespeare) to join [v]
INJUNCTED,INJUNCTto prohibit; to restrain by means of an injunction [v]
INJURABLE,that can be injured [adj]
INJURIOUS,causing injury [adj INJURIOUSLY]
INJUSTICE,the fact or act of being unjust [n -S]
INKHOLDER,a container for ink; the reservoir of a fountain-pen [n -S]
INKSTAINS,INKSTAINa stain made by ink [n]
INKSTANDS,INKSTANDan inkwell [n]
INKSTONES,INKSTONEa type of stone used in making ink [n]
INLANDERS,INLANDERone living inland [n]
INLAYINGS,INLAYINGthe act of inlaying [n]
INLETTING,INLETto insert [v]
INLOCKING,INLOCKto lock up
INMESHING,INMESHto entangle
INMIGRANT,coming in from another area of the same country [adj] / an inmigrant person or animalalso IMMIGRANT [n -S]
INNERMOST,farthest in [adj] / an innermost thing [n -S]
INNERNESS,the state of being inner [n -ES]
INNERSOLE,an insole [n -S]
INNERVATE,to supply with nerves or a nervous stimulusalso INNERVE [v INNERVATED
INNERVING,INNERVEto supply with nerves or a nervous stimulus
INNERWEAR,underwear [n -S]
INNINGSES,INNINGSa team's or individual batsman's turn at batting in cricket
INNKEEPER,a person in charge of an inn [n -S]
INNOCENCE,the quality of being innocentalso INNOCENCY [n -S]
INNOCENCY,(archaic) innocencealso INNOCENCE [n INNOCENCIES]
INNOCENTS,INNOCENTa person who is guileless [n]
INNOCUITY,innocuousness [n INNOCUITIES]
INNOCUOUS,harmless [adj INNOCUOUSLY]
INNOVATED,INNOVATEto introduce something new [v]
INNOVATES,INNOVATEto introduce something new [v]
INNOVATOR,one who innovates [n -S]
INNOXIOUS,harmless [adj INNOXIOUSLY]
INNUENDOS,INNUENDOan insinuation [n]
INOCULANT,any material used in inoculationalso INOCULUM [n -S]
INOCULATE,to introduce (e.g. bacteriaa virus) into an organism [v INOCULATED
INOCULUMS,INOCULUM(Latin) the material used in an inoculation [n]
INODOROUS,emitting no odor [adj INODOROUSLY]
INOPINATE,(obsolete) not thought of; unexpected [adj]
INORGANIC,not organic [adj INORGANICALLY] / an inorganic substance [n -S]
INOSITOLS,INOSITOLan alcohol found in plant and animal tissue
INOTROPES,INOTROPEa drug for controlling the force of muscular contractions [n]
INOTROPIC,affecting or controlling muscular contractionesp. of the heart [adj]
INPATIENT,a patient living and being treated in a hospital [n -S]
INPAYMENT,the payment of money into a bank account [n -S]
INPOURING,the act of pouring in [n -S]
INPUTTERS,INPUTTERsomeone who feeds in information [n]
INPUTTING,INPUTto enter data into a computer [v]
INQUERING,INQUERE(Spenser) to ask about
INQUIETED,INQUIETto disturb [v]
INQUIETLY,INQUIETnot quiet [adv]
INQUILINE,living with another [adj] / a creature dwelling in another creature's lairalso INQUILINIC [n -S]
INQUINATE,to corrupt or defile [v INQUINATEDINQUINATING
INQUIRERS,INQUIRERone who enquires
INQUIRIES,INQUIRYa question
INQUIRING,INQUIREto ask about
INQUORATE,of the attendance at a meetingnot making up a quorum [adj]
INRUSHING,the act of rushing inalso INRUSH [n -S]
INSATIATE,insatiable; asinsatiate thirst [adj INSATIATELY]
INSATIETY,insatiableness [n INSATIETIES]
INSCIENCE,want of knowledge; ignorance [n -S]
INSCONCED,INSCONCE(Shakespeare) to settle comfortably
INSCONCES,INSCONCE(Shakespeare) to settle comfortably
INSCRIBED,INSCRIBEto write or engrave as a lasting record [v]
INSCRIBER,one who inscribes [n -S]
INSCRIBES,INSCRIBEto write or engrave as a lasting record [v]
INSCROLLS,INSCROLL(Shakespeare) to write on a scroll
INSCULPED,INSCULPto engrave
INSEAMING,INSEAMto cover with grease
INSECTARY,a place for keeping living insectsalso INSECTARIUM [n INSECTARIES]
INSECTEAN,pertaining to insectsalso INSECTAN [adj]
INSECTILE,pertaining toor having the nature of
INSECTION,a cutting inan incision [n -S]
INSECURER,INSECUREnot safe [adj]
INSEEMING,INSEEM(Shakespeare) to grease
INSELBERG,(German) an isolated mountain or hill rising abruptly from its surroundingaka monadnock [n INSELBERGE or INSELBERGS]
INSENSATE,without sensationinanimate [adj INSENSATELY]
INSERTERS,INSERTERone who inserts [n]
INSERTING,INSERTto put in [v]
INSERTION,the act of inserting [n -S]
INSETTERS,INSETTERa person who or thing which insets pages etc. [n]
INSETTING,INSETto set in
INSHALLAH,(Arabic) an interjection among Muslimsif Allah wills [interj]
INSHEATHE,to insert as in a sheathalso ENSHEATH
INSHEATHS,INSHEATHto enclose in a sheath
INSHELLED,INSHELL(Shakespeare) to enclose in a shell
INSHELTER,to place in shelter [v -ED-ING
INSHIPPED,INSHIP(Shakespeare) to take ship [v]
INSHRINED,INSHRINEto place in a shrine
INSHRINES,INSHRINEto place in a shrine
INSIDIOUS,developing or advancing gradually and imperceptibly [adj INSIDIOUSLY]
INSIGNIAS,INSIGNIAa sign of membership or honour [n]
INSINCERE,not sincere [adj INSINCERERINSINCEREST; INSINCERELY]
INSINEWED,INSINEW(Shakespeare) to be joined as with sinews [v]
INSINUATE,to hint or indirectly suggest [v INSINUATEDINSINUATING
INSIPIDER,INSIPIDdull and uninteresting [adj]
INSIPIDLY,INSIPIDdull and uninteresting [adv]
INSIPIENT,wanting wisdom; foolish [adj INSIPIENTLY]
INSISTENT,given to insisting [adj INSISTENTLY]
INSISTERS,INSISTERone who insists [n]
INSISTING,INSISTto maintain very firmly [v]
INSNARERS,INSNARERone that ensnares
INSNARING,INSNAREto trap
INSOLATED,INSOLATEto expose to the sun's rays [v]
INSOLATES,INSOLATEto expose to the sun's rays [v]
INSOLENCE,rudenessimpudence [n -S]
INSOLENTS,INSOLENTan insolent person [n]
INSOLUBLE,that cannot be solved [adj INSOLUBLY] / something insoluble [n -S]
INSOLUBLY,INSOLUBLEthat cannot be solved [adv]
INSOLVENT,not able to pay one's debts [adj] / one who is insolvent [n -S]
INSOMNIAC,one who suffers from insomnia [n -S]
INSOMNIAS,INSOMNIAchronic inability to sleep [n]
INSOULING,INSOULto infuse with a soul
INSOURCED,INSOURCEto subcontract work to another company that is under the same general ownership [v]
INSOURCES,INSOURCEto subcontract work to another company that is under the same general ownership [v]
INSPANNED,INSPAN(South African) to harness or yoke animals to a vehicle [v]
INSPECTED,INSPECTto examine closely [v]
INSPECTOR,one who inspects; a police rank [n -S]
INSPHERED,INSPHEREto enclose in a sphere
INSPHERES,INSPHEREto enclose in a sphere
INSPIRERS,INSPIRERone that inspires [n]
INSPIRING,INSPIREto influence to greater heights [v]
INSPIRITS,INSPIRITto animate or encourage [v]
INSTAGRAM,to share (a photograph) using the Instagram application [v INSTAGRAMMEDINSTAGRAMMING
